1740579209452|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/jpashop|     drop table if exists member cascade |     drop table if exists member cascade 
1740579209454|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/jpashop|     create table member (         id bigint generated by default as identity,         username varchar(255),         primary key (id)     )|     create table member (         id bigint generated by default as identity,         username varchar(255),         primary key (id)     )
1740579210400|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/jpashop|     drop table if exists member cascade |     drop table if exists member cascade 
1740579210404|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/jpashop|     create table member (         id bigint generated by default as identity,         username varchar(255),         primary key (id)     )|     create table member (         id bigint generated by default as identity,         username varchar(255),         primary key (id)     )
1740579211082|1|statement|connection 3|url jdbc:h2:tcp://localhost/~/jpashop|insert into member (username,id) values (?,default)|insert into member (username,id) values ('memberA',default)
1740579211139|0|commit|connection 3|url jdbc:h2:tcp://localhost/~/jpashop||
1740579268907|0|statement|connection 5|url jdbc:h2:tcp://localhost/~/jpashop|     drop table if exists member cascade |     drop table if exists member cascade 
1740579268908|0|statement|connection 6|url jdbc:h2:tcp://localhost/~/jpashop|     create table member (         id bigint generated by default as identity,         username varchar(255),         primary key (id)     )|     create table member (         id bigint generated by default as identity,         username varchar(255),         primary key (id)     )
1740579270262|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/jpashop|     drop table if exists member cascade |     drop table if exists member cascade 
1740579270267|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/jpashop|     create table member (         id bigint generated by default as identity,         username varchar(255),         primary key (id)     )|     create table member (         id bigint generated by default as identity,         username varchar(255),         primary key (id)     )
1740579270968|1|statement|connection 3|url jdbc:h2:tcp://localhost/~/jpashop|insert into member (username,id) values (?,default)|insert into member (username,id) values ('memberA',default)
1740579271023|0|commit|connection 3|url jdbc:h2:tcp://localhost/~/jpashop||
1740579385446|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/jpashop|     drop table if exists member cascade |     drop table if exists member cascade 
1740579385449|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/jpashop|     create table member (         id bigint generated by default as identity,         username varchar(255),         primary key (id)     )|     create table member (         id bigint generated by default as identity,         username varchar(255),         primary key (id)     )
1740579386240|1|statement|connection 3|url jdbc:h2:tcp://localhost/~/jpashop|insert into member (username,id) values (?,default)|insert into member (username,id) values ('memberA',default)
1740579386297|0|commit|connection 3|url jdbc:h2:tcp://localhost/~/jpashop||
1740579508802|0|statement|connection 9|url jdbc:h2:tcp://localhost/~/jpashop|     drop table if exists member cascade |     drop table if exists member cascade 
1740579508804|0|statement|connection 10|url jdbc:h2:tcp://localhost/~/jpashop|     create table member (         id bigint generated by default as identity,         username varchar(255),         primary key (id)     )|     create table member (         id bigint generated by default as identity,         username varchar(255),         primary key (id)     )
